Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.EL_1048187, 1.296912E-007, -8.642158, 1.296912E-007, -8.642158, 0, 0
Line.D_FU91E5131|D_U91E52, 101.925, 166.1737, 101.925, 166.1737, 0, 0
Line.D_U91E5215|E_-156360, 98.23954, 160.1588, 98.23954, 160.1588, 0, 0
Line.91E5092|D_FU91E5131, 49.12106, 80.08698, 49.12106, 80.08698, 0, 0
Line.EL_153197170, 1.04883E-005, -0.2216052, 1.04883E-005, -0.2216052, 0, 0
Line.E_-1563608|E_-156361, 141.2168, 230.2135, 141.2168, 230.2135, 0, 0
Line.EL_160090044, 40.61492, 64.46351, 40.61492, 64.46351, 0, 0
Line.E_-1563614|D_FJ42E1, 95.78018, 156.1349, 95.78018, 156.1349, 0, 0
Line.D_FJ42E1040|FJ42E10, 5.572669, -13.31075, 5.572669, -13.31075, 0, 0
Line.D_FJ42E1040|D_D_SU9, 124.322, 207.3698, 124.322, 207.3698, 0, 0
Line.D_D_SU91E5547|D_SU91, 27.97223, 46.6569, 27.97223, 46.6569, 0, 0
Line.D_U91E5614|D_SU91E55, 4294.021, 7759.403, 4294.021, 7759.403, 0, 0
Line.EL_221798848, 1964.129, 3551.183, 1964.129, 3551.183, 0, 0
Line.D_U91E5614|91E5688, 2263.069, 4089.436, 2263.069, 4089.436, 0, 0
Line.EL_165381603, 559.886, 175.5752, 559.886, 175.5752, 0, 0
Line.EL_221798754, 0.01146609, -1.994078, 0.01146609, -1.994078, 0, 0
Line.EL_208693393, 1051.012, 1899.018, 1051.012, 1899.018, 0, 0
Line.EL_172215739, -2.800981E-006, -0.4422389, -2.800981E-006, -0.4422389, 0, 0
Line.EL_172215757, 110.6329, 199.897, 110.6329, 199.897, 0, 0
Line.REG1_1, 55.31639, 99.94839, 55.31639, 99.94839, 0, 0
Line.REG1_2, 55.3164, 99.94841, 55.3164, 99.94841, 0, 0
Line.REG1_3, 553.1643, 999.4845, 553.1643, 999.4845, 0, 0
Line.EL_224516352, 0.001547938, -7.158393, 0.001547938, -7.158393, 0, 0
Line.EL_224516378, 0.00155051, -7.158384, 0.00155051, -7.158384, 0, 0
Line.EL_224516346, 0.0004822556, -2.236999, 0.0004822556, -2.236999, 0, 0
Line.EL_224516384, 0.01164033, -53.24016, 0.01164033, -53.24016, 0, 0
Line.FF34E0585|34E0585, 1.670204, -3.694925, 1.670204, -3.694925, 0, 0
Line.EL_154950210, -7.840081E-006, -0.2216124, -7.840081E-006, -0.2216124, 0, 0
Line.EL_172215751, 110.6329, 199.8971, 110.6329, 199.8971, 0, 0
Line.EL_215472, 0.1035119, -0.3892424, 0.1035119, -0.3892424, 0, 0
Line.E_-1554294|D_FU91E49, 28.65205, 35.05452, 28.65205, 35.05452, 0, 0
Line.D_FU91E4939|D_FU91E4, 12.19077, 16.98174, 12.19077, 16.98174, 0, 0
Line.E_-1554287|E_-155429, 38.45519, 47.05347, 38.45519, 47.05347, 0, 0
Line.D_FU91E4961|D_FU91E5, 22.27576, 32.80728, 22.27576, 32.80728, 0, 0
Line.D_FU91E4765|E_-15542, 11.68762, 14.30207, 11.68762, 14.30207, 0, 0
Line.EL_118269800, 0.2750356, -0.3003783, 0.2750356, -0.3003783, 0, 0
Line.EL_212320788, 43.58712, 69.1827, 43.58712, 69.1827, 0, 0
Line.EL_117061411, 0.01844554, -0.2117595, 0.01844554, -0.2117595, 0, 0
Line.D_FU91E4687|D_FU91E4, 17.58409, 18.78262, 17.58409, 18.78262, 0, 0
Line.D_FU91E4687|FH94S212, 4.080986, 2.299457, 4.080986, 2.299457, 0, 0
Line.EL_221798770, 0.1325968, -23.0424, 0.1325968, -23.0424, 0, 0
Line.42E1200|EL_1227709, -2.372846E-007, -9.318329, -2.372846E-007, -9.318329, 0, 0
Line.FJ42E1040|42E1200, 12.13976, -28.98502, 12.13976, -28.98502, 0, 0
Line.EL_172215745, 110.6329, 199.8972, 110.6329, 199.8972, 0, 0
Line.D_A88L2085|88L2072, 0.7427525, -2.270794, 0.7427525, -2.270794, 0, 0
Line.FU91E4687|D_A88L2085, 0.1244036, -1.545383, 0.1244036, -1.545383, 0, 0
Line.FU91E4961|61E1143, 4.167182, -32.8305, 4.167182, -32.8305, 0, 0
Line.FU91E4765|91E4735, 0.6829795, -7.836036, 0.6829795, -7.836036, 0, 0
Line.FU91E4939|91E4939, 0.5693632, -2.140842, 0.5693632, -2.140842, 0, 0
Line.D_G71L1023|FG71L1039, 2.20032, -2.402898, 2.20032, -2.402898, 0, 0
Line.FU91E5016|D_G71L1023, 0.5500763, -0.6007429, 0.5500763, -0.6007429, 0, 0
Line.D_FY41L1000|D_O53E07, 6.454711, 1.134578, 6.454711, 1.134578, 0, 0
Line.D_FY41L1000|94S2338, 0.1110373, -17.86563, 0.1110373, -17.86563, 0, 0
Line.EL_154949994, 24.84176, 14.00259, 24.84176, 14.00259, 0, 0
Line.D_O53E0737|D_O53E066, 50.34785, 8.853381, 50.34785, 8.853381, 0, 0
Line.D_O53E0661|FY41L1000, 27.11119, 4.769908, 27.11119, 4.769908, 0, 0
Line.D_F90E1070|D_FT21E20, 2510.432, 4535.511, 2510.432, 4535.511, 0, 0
Line.EL_122147199, 11652.44, 21051.98, 11652.44, 21051.98, 0, 0
Line.EL_213908, 0.0693842, -10.01734, 0.0693842, -10.01734, 0, 0
Line.D_FF90E1021|D_F90E10, 2562.729, 4629.98, 2562.729, 4629.98, 0, 0
Line.90E1011|D_FF90E1021, 535.6096, 967.7155, 535.6096, 967.7155, 0, 0
Line.EL_152424367, 0.02989616, -0.2036379, 0.02989616, -0.2036379, 0, 0
Line.EL_114411043, 5516.485, 9967.56, 5516.485, 9967.56, 0, 0
Line.EL_152741406, 1158.46, 2093.176, 1158.46, 2093.176, 0, 0
Line.EL_199825812, 2316.918, 4186.34, 2316.918, 4186.34, 0, 0
Line.EL_212916, 2323.302, 4197.89, 2323.302, 4197.89, 0, 0
Line.EL_33234149, 3208.365, 5797.06, 3208.365, 5797.06, 0, 0
Line.EL_172215763, 1493.545, 2698.617, 1493.545, 2698.617, 0, 0
Line.EL_216237911, -8.765915E-007, -0.6625257, -8.765915E-007, -0.6625257, 0, 0
Line.EL_172215733, -7.211701E-007, -0.4420171, -7.211701E-007, -0.4420171, 0, 0
Line.EL_165499602, 55.31646, 99.94864, 55.31646, 99.94864, 0, 0
Line.EL_213840, 4.298551E-007, -3.533422, 4.298551E-007, -3.533422, 0, 0
Line.FG71L1039|71L1039, 0.4125684, -0.4505355, 0.4125684, -0.4505355, 0, 0
Line.FY41L1000|41L1000, 9.037189, 1.590406, 9.037189, 1.590406, 0, 0
Line.EL_732675, 1.439265E-006, -0.6625204, 1.439265E-006, -0.6625204, 0, 0
Line.EL_225208531, -1.144765E-007, -6.846004, -1.144765E-007, -6.846004, 0, 0
Line.EL_225208525, 1.439265E-006, -0.6625204, 1.439265E-006, -0.6625204, 0, 0
Line.EL_213934, 1.88803, -4.642563, 1.88803, -4.642563, 0, 0
Line.90E1382|D_FF97E0022, 5755.654, 10398.14, 5755.654, 10398.14, 0, 0
Line.D_FF97E0022|SF90E163, 6618.488, 11955.93, 6618.488, 11955.93, 0, 0
Line.SF90E1336|90E1382, 2548.981, 4605.18, 2548.981, 4605.18, 0, 0
Line.FT21E2000|21E1800, 0.2990302, -43.11687, 0.2990302, -43.11687, 0, 0
Line.21E1800|EL_1227798, 4.081379E-007, -7.86747, 4.081379E-007, -7.86747, 0, 0
Line.FF90E1021|90E1021, 0.4483384, -3.054542, 0.4483384, -3.054542, 0, 0
Line.EL_40214048, 0.05745345, -0.1844212, 0.05745345, -0.1844212, 0, 0
Line.D_FF90E1843|SF90E163, 10148.4, 18332.73, 10148.4, 18332.73, 0, 0
Line.D_FF90E1843|SF90E189, 1941.7, 3507.343, 1941.7, 3507.343, 0, 0
Line.FF97E0022|97E0238, 15.32478, -37.66719, 15.32478, -37.66719, 0, 0
Line.97E0238|D_F97E0376, 5.112636, -26.74308, 5.112636, -26.74308, 0, 0
Line.D_F97E0376|D_FN18E00, 1.391186, -7.27487, 1.391186, -7.27487, 0, 0
